id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
217,5BZQJ0049+5128 ,00 49 37.93,+51 28 14.01,144,0,0,0.87,5BZCAT
218,5BZUJ0049-4457 ,00 49 16.6,-44 57 11.01,206,2.23e-12,0,0.121,5BZCAT
219,5BZQJ0049-3116 ,00 49 22.88,-31 16 27.29,161,0,0,2.721,5BZCAT
220,3HSPJ004929.9-241844.7,00 49 29.93,-24 18 44.71,10,0,16.4,0.49,3HSP
221,5BZQJ0049-2509 ,00 49 33.72,-25 09 33.91,95,0,0,1.472,5BZCAT
222,5BZBJ0049+0237 ,00 49 43.2,+02 37 03.89,425,1.25e-11,0,0,5BZCAT
223,5BZQJ0047-8256 ,00 47 51.37,-82 56 49.3,204,0,0,1.112,5BZCAT
224,3HSPJ004938.8-415137.7,00 49 38.88,-41 51 37.58,58.7,1.46e-12,16.3,0.38,3HSP
225,4FGLJ0049.4-5402 ,00 49 48.54,-54 02 45.31,196.1,3.5e-12,0,0,Fermi 3LAC
226,5BZQJ0049-5738 ,00 49 59.51,-57 38 26.69,2111,5.54e-12,0,1.797,5BZCAT
227,5BZQJ0050-0452 ,00 50 21.53,-04 52 20.31,254,1.4e-11,0,0.922,5BZCAT
228,3HSPJ005015.4-461811.2,00 50 15.48,-46 18 11.19,29.9,0,16.1,0.33,3HSP
229,5BZBJ0050-0929 ,00 50 41.28,-09 29 04.81,814,3.42e-11,0,0,5BZCAT
230,3HSPJ005040.9-254123.0,00 50 40.92,-25 41 22.88,57.2,0,15.4,0.777,3HSP
231,3HSPJ005048.5-342850.9,00 50 48.54,-34 28 50.8,6.3,0,16.1,0.32,3HSP
232,5BZQJ0051-0650 ,00 51 08.2,-06 50 01.89,905,9.21e-12,0,1.975,5BZCAT
233,5BZQJ0051-4226 ,00 51 09.48,-42 26 32.71,676,3.65e-12,0,1.749,5BZCAT
234,5BZBJ0051-6242 ,00 51 16.64,-62 42 04.28,43,1.63e-11,15.8,0,5BZCAT
235,5BZQJ0052+4402 ,00 52 27.82,+44 02 54.59,146,0,0,2.624,5BZCAT
