id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
4993,3HSPJ184229.8-584157.5,18 42 29.82,-58 41 57.4,0,3.34e-12,17.1,0.33,3HSP
4994,5BZGJ1838+5735 ,18 38 58.55,+57 35 39.4,87,0,0,0.164,5BZCAT
4995,5BZQJ1840+3900 ,18 40 57.15,+39 00 45.61,143,0,0,3.095,5BZCAT
4996,3HSPJ184121.7+290940.8,18 41 21.72,+29 09 40.71,64.6,4.65e-12,16.1,0.18,3HSP
4997,4FGLJ1843.4-4835 ,18 43 14.6,-48 36 23.18,5191,1.56e-12,0,0,Fermi 4LAC
4998,5BZBJ1841+3218 ,18 41 47.04,+32 18 39.2,20,6.9e-12,16.2,0,5BZCAT
4999,5BZBJ1840+5452 ,18 40 57.36,+54 52 15.88,208,0,0,0.646,5BZCAT
5000,4FGLJ1841.0+6115 ,18 40 35.33,+61 14 07.0,15,5.42e-12,0,0,Fermi 4LAC
5001,5BZBJ1841+5906 ,18 41 20.3,+59 06 08.2,19,0,16.5,0.53,5BZCAT
5002,3HSPJ184207.4+521702.2,18 42 07.44,+52 17 02.11,24.4,0,16,0.43,3HSP
5003,3HSPJ184445.6-324641.5,18 44 45.65,-32 46 41.41,15.6,2.24e-12,15,0,3HSP
5004,3HSPJ184425.3+154645.8,18 44 25.36,+15 46 45.8,84.1,1.79e-11,15.1,0.11,3HSP
5005,5BZQJ1842+6809 ,18 42 33.64,+68 09 25.19,798,4.23e-12,0,0.472,5BZCAT
5006,3HSPJ184430.8+544144.7,18 44 30.84,+54 41 44.69,50.2,0,15.2,0.234,3HSP
5007,5BZBJ1844+5709 ,18 44 50.95,+57 09 38.48,162,5.48e-12,0,0,5BZCAT
5008,3HSPJ184514.1+555242.4,18 45 14.11,+55 52 42.31,7.3,0,16.4,0.61,3HSP
5009,4FGLJ1849.3-6447 ,18 49 24.79,-64 49 33.38,0,1.64e-12,0,0,Fermi 4LAC
5010,3FGLJ1848.1-4230 ,18 48 06.18,-42 30 26.6,102,3.78e-12,0,0,Fermi 3LAC
5011,5BZQJ1846+3747 ,18 46 31.91,+37 47 17.3,116,0,0,2.441,5BZCAT
5012,4FGLJ1848.6-2711 ,18 48 47.5,-27 18 17.99,43.8,5.52e-12,0,0,Fermi 4LAC
5013,3HSPJ184642.6+561627.4,18 46 42.65,+56 16 27.4,16.2,0,17.4,0.32,3HSP
5014,5BZBJ1849-4314 ,18 49 25.92,-43 14 12.98,90,9.32e-12,0,0,5BZCAT
5015,3HSPJ184919.4-164724.0,18 49 19.45,-16 47 23.99,36.5,6.48e-12,16.5,0.16,3HSP
5016,5BZQJ1848+3219 ,18 48 22.08,+32 19 02.6,516,2.23e-11,0,0.798,5BZCAT
5017,4FGLJ1848.5+3243 ,18 48 34.36,+32 44 00.09,1015,2.86e-11,0,0,Fermi 4LAC
5018,4FGLJ1847.6+5219 ,18 47 54.43,+52 15 13.71,52.4,2.22e-12,0,0,Fermi 4LAC
5019,4FGLJ1846.7+7238 ,18 46 12.83,+72 37 50.59,96.9,7.46e-13,0,0,Fermi 4LAC
5020,5BZBJ1848+4245 ,18 48 47.13,+42 45 39.31,21,2.99e-12,17.8,0,5BZCAT
5021,5BZQJ1849+3024 ,18 49 20.1,+30 24 14.11,222,0,0,0.672,5BZCAT
5022,5BZBJ1849+2748 ,18 49 31.74,+27 48 00.68,47,5.95e-12,0,0,5BZCAT
5023,5BZBJ1848+6537 ,18 48 22.66,+65 37 02.2,8,1.29e-12,17.7,0.364,5BZCAT
5024,3HSPJ185024.0+263153.6,18 50 24.03,+26 31 53.61,19,2.22e-12,16.1,0.22,3HSP
5025,5BZQJ1850+2825 ,18 50 27.59,+28 25 13.11,230,0,0,2.544,5BZCAT
5026,5BZQJ1849+6705 ,18 49 16.07,+67 05 41.71,517,4.99e-11,0,0.657,5BZCAT
5027,4FGLJ1854.6-6007 ,18 54 51.66,-60 09 23.5,83.6,1.55e-12,0,0,Fermi 3LAC
5028,5BZQJ1852+4019 ,18 52 30.35,+40 19 06.6,655,0,0,2.12,5BZCAT
5029,5BZQJ1852+4855 ,18 52 28.55,+48 55 47.49,238,1.5e-11,0,1.25,5BZCAT
5030,3HSPJ184951.6+745318.9,18 49 51.66,+74 53 18.88,23,0,15.2,0.4,3HSP
5031,5BZQJ1857-5325 ,18 57 00.43,-53 25 00.4,515,0,0,0.778,5BZCAT
5032,5BZQJ1855+3742 ,18 55 27.7,+37 42 56.98,187,0,0,1.12,5BZCAT
5033,5BZBJ1853+6713 ,18 53 52.06,+67 13 54.98,11,1.57e-12,17.2,0.212,5BZCAT
5034,5BZQJ1901-7429 ,19 01 05.11,-74 29 25.29,320,0,0,0.638,5BZCAT
5035,4FGLJ1858.3-2511 ,18 58 19.08,-25 10 50.69,193.9,1.27e-11,0,0,Fermi 3LAC
5036,5BZQJ1854+7351 ,18 54 57.29,+73 51 19.9,464,0,0,0.461,5BZCAT
5037,3HSPJ185813.4+432451.9,18 58 13.43,+43 24 51.8,67.4,2.59e-12,17.4,0.17,3HSP
5038,5BZQJ1903-6749 ,19 03 01.23,-67 49 35.9,241,1.21e-11,0,0.255,5BZCAT
5039,4FGLJ1901.7-5140 ,19 01 49.0,-51 39 07.99,262.1,1.17e-12,0,0,Fermi 4LAC
5040,4FGLJ1858.7+5708 ,18 58 53.5,+57 08 09.6,36.9,2.49e-12,0,0,Fermi 4LAC
5041,5BZBJ1901-2112 ,19 01 04.44,-21 12 01.11,92,0,0,0,5BZCAT
5042,4FGLJ1858.1+7318 ,18 58 20.35,+73 17 13.2,24.9,3.36e-12,0,0,Fermi 4LAC
5043,3HSPJ185550.8+805223.2,18 55 50.88,+80 52 23.19,8.7,0,15.7,0,3HSP
5044,5BZQJ1902+3159 ,19 02 55.92,+31 59 41.71,3204,0,0,0.635,5BZCAT
5045,5BZBJ1903+5540 ,19 03 11.59,+55 40 38.49,261,3.96e-11,0,0,5BZCAT
5046,3HSPJ190411.8+362658.7,19 04 11.83,+36 26 58.7,98.8,5.62e-12,17.6,0.13,3HSP
5047,5BZQJ1912-8010 ,19 12 40.01,-80 10 05.8,1200,1.78e-11,0,1.756,5BZCAT
5048,4FGLJ1906.7+5419 ,19 06 57.42,+54 20 09.88,90.4,1.5e-12,0,0,Fermi 4LAC
5049, 3FGLJ1908.8-0130 ,19 08 36.94,-01 26 43.11,0,1.22e-11,0,0,Fermi 3LAC
5050,4FGLJ1909.7-2140 ,19 09 45.15,-21 39 35.38,185.7,3.86e-12,0,0,Fermi 4LAC
5051,4FGLJ1910.0-2453 ,19 10 15.51,-24 47 45.31,123.8,3.56e-12,0,0,Fermi 4LAC
5052,4FGLJ1909.5+3511 ,19 09 34.09,+35 10 49.29,390.2,1.88e-12,0,0,Fermi 4LAC
5053,5BZQJ1911-2006 ,19 11 09.65,-20 06 55.0,2714,4.56e-11,0,1.119,5BZCAT
5054,5BZQJ1916-7946 ,19 16 44.32,-79 46 21.9,48,0,0,0.204,5BZCAT
5055,5BZQJ1909+4834 ,19 09 46.56,+48 34 31.79,423,0,0,0.513,5BZCAT
5056,3HSPJ191129.7-190824.8,19 11 29.72,-19 08 24.68,440.4,6.52e-12,17,0.16,3HSP
5057,3HSPJ191052.1+285624.3,19 10 52.12,+28 56 24.21,5.6,4.03e-12,16.7,0.3,3HSP
5058,5BZQJ1911-2102 ,19 11 53.93,-21 02 43.8,620,0,0,1.42,5BZCAT
5059,3FGLJ1912.0-0804 ,19 12 07.12,-08 04 21.89,363.4,2.04e-11,0,0,Fermi 3LAC
5060,4FGLJ1912.4-1222 ,19 12 29.51,-12 23 00.81,126.4,9.5e-12,0,0,Fermi 3LAC
5061,5BZUJ1911+1611 ,19 11 58.25,+16 11 46.89,395,6.74e-12,0,0,5BZCAT
5062,4FGLJ1913.4-3629 ,19 13 20.88,-36 30 19.4,119.8,6.64e-12,0,0,Fermi 3LAC
5063,3HSPJ191251.1-124919.0,19 12 51.15,-12 49 18.91,8.9,3.58e-12,15.4,0,3HSP
5064,5BZQJ1913-4503 ,19 13 46.55,-45 03 11.48,60,0,0,2.559,5BZCAT
5065,5BZQJ1914-4631 ,19 14 13.8,-46 31 31.9,372,0,0,1.283,5BZCAT
5066,5BZQJ1912+3740 ,19 12 25.11,+37 40 36.51,418,0,0,1.104,5BZCAT
5067,4FGLJ1917.7-6930 ,19 16 36.29,-69 28 33.31,101.4,3.17e-12,0,0,Fermi 4LAC
5068,3HSPJ191401.8+443832.2,19 14 01.87,+44 38 32.2,15.6,3.46e-12,15.7,0.28,3HSP
5069,5BZQJ1915-2347 ,19 15 44.76,-23 47 03.01,55,0,0,1.34,5BZCAT
5070,4FGLJ1917.7-6442 ,19 17 34.04,-64 35 43.9,102.6,1.69e-12,0,0,Fermi 4LAC
5071,4FGLJ1916.7-1516 ,19 16 52.5,-15 19 00.01,165.6,6.08e-12,0,0,Fermi 4LAC
5072,5BZQJ1923-8007 ,19 23 05.77,-80 07 28.81,268,0,0,1.481,5BZCAT
5073,5BZBJ1918-4111 ,19 18 16.04,-41 11 30.8,361,2.76e-11,0,0,5BZCAT
5074,5BZBJ1917-1921 ,19 17 44.82,-19 21 31.6,482,3.94e-11,0,0.137,5BZCAT
5075,5BZUJ1915+6548 ,19 15 23.81,+65 48 46.4,584,0,0,0.486,5BZCAT
5076,3HSPJ191803.6+033031.1,19 18 03.59,+03 30 31.1,37.6,3.61e-12,16.2,0.23,3HSP
5077,5BZQJ1919-4543 ,19 19 16.68,-45 43 38.6,789,0,0,2.47,5BZCAT
5078,3HSPJ192242.3-745356.6,19 22 42.29,-74 53 56.61,13.7,5.49e-12,16.3,0.36,3HSP
5079,3HSPJ191809.6+375313.1,19 18 09.63,+37 53 12.98,9.5,2.91e-12,16.2,0,3HSP
5080,5BZQJ1918+5520 ,19 18 10.74,+55 20 38.61,301,0,0,1.734,5BZCAT
5081,5BZQJ1918+4937 ,19 18 45.56,+49 37 55.99,159,0,0,0.926,5BZCAT
5082,5BZQJ1920-2351 ,19 20 48.43,-23 51 33.01,64,0,0,1.345,5BZCAT
5083,5BZBJ1921-1231 ,19 21 23.92,-12 31 54.4,111,1.27e-11,0,0,5BZCAT
5084,5BZBJ1921-1607 ,19 21 51.53,-16 07 13.11,96,1.04e-11,0,0,5BZCAT
5085,3HSPJ192527.1-722044.8,19 25 27.12,-72 20 44.69,0,0,15.3,0,3HSP
5086,4FGLJ1924.3-5458 ,19 24 10.25,-54 57 07.81,78.4,1.31e-12,0,0,Fermi 4LAC
5087,3HSPJ192325.4-250209.0,19 23 25.38,-25 02 08.91,4.4,1.31e-12,17.8,0.65,3HSP
5088,5BZQJ1923-2104 ,19 23 32.17,-21 04 33.31,3167,2.5e-11,0,0.874,5BZCAT
5089,3HSPJ192024.9+693537.4,19 20 24.94,+69 35 37.28,9.6,0,15.7,0.74,3HSP
5090,5BZBJ1925-5935 ,19 25 24.35,-59 35 32.31,229,0,0,0.436,5BZCAT
5091,3HSPJ192157.6+581701.2,19 21 57.64,+58 17 01.21,10,0,16.4,0.4,3HSP
5092,4FGLJ1924.2-1549 ,19 24 11.81,-15 49 01.99,1288.9,1.95e-12,0,0,Fermi 4LAC
5093,5BZQJ1924-2914 ,19 24 51.05,-29 14 30.08,13387,2.49e-11,0,0.353,5BZCAT
5094,5BZQJ1925-3401 ,19 25 16.98,-34 01 01.2,257,0,0,1.523,5BZCAT
5095,5BZBJ1925-1018 ,19 25 03.19,-10 18 12.59,94,8.8e-12,0,0,5BZCAT
5096,5BZBJ1925-2219 ,19 25 39.78,-22 19 35.11,445,1.27e-12,0,0,5BZCAT
5097,3HSPJ192502.2+281542.1,19 25 02.23,+28 15 42.01,66.4,7.23e-12,16.3,0.16,3HSP
5098,3FGLJ1925.7+1228 ,19 25 40.8,+12 27 38.01,139.4,1.49e-11,0,0,Fermi 3LAC
5099,3HSPJ192519.0+370535.6,19 25 19.06,+37 05 35.48,11.5,0,16.6,0.26,3HSP
5100,5BZBJ1925+2106 ,19 25 59.61,+21 06 26.2,1199,0,0,0,5BZCAT
5101,5BZQJ1930-6056 ,19 30 06.16,-60 56 09.2,692,0,0,3.254,5BZCAT
5102,5BZUJ1928-0456 ,19 28 22.48,-04 56 26.19,267,0,0,0.587,5BZCAT
5103,5BZBJ1926+6154 ,19 26 49.87,+61 54 42.4,23,1.21e-11,15.8,0,5BZCAT
5104,5BZBJ1927+6117 ,19 27 30.42,+61 17 32.78,535,8.62e-12,0,0,5BZCAT
5105,5BZQJ1933-6942 ,19 33 31.14,-69 42 58.89,759,0,0,1.481,5BZCAT
5106,4FGLJ1931.3-1556 ,19 31 17.64,-15 57 52.99,68.8,1.05e-12,0,0,Fermi 4LAC
5107,5BZBJ1931+0937 ,19 31 09.6,+09 37 17.5,19,3.22e-11,15.9,0,5BZCAT
5108,5BZQJ1927+7358 ,19 27 48.49,+73 58 01.59,3950,0,0,0.302,5BZCAT
5109,4FGLJ1929.4+6146 ,19 29 35.09,+61 46 29.31,211.2,3.78e-12,0,0,Fermi 4LAC
5110,5BZQJ1932-4536 ,19 32 44.88,-45 36 37.9,792,6.16e-12,0,0.652,5BZCAT
5111,5BZUJ1933+0726 ,19 33 20.28,+07 26 21.8,95,1.17e-11,16.2,0,5BZCAT
5112,4FGLJ1933.9-1025 ,19 33 49.52,-10 25 27.08,6.5,2.47e-12,0,0,Fermi 4LAC
5113,3HSPJ193412.7-241920.4,19 34 12.77,-24 19 20.31,19.2,2.51e-12,16.2,0.23,3HSP
5114,5BZQJ1934-2416 ,19 34 52.85,-24 16 24.38,230,0,0,1.543,5BZCAT
5115,5BZQJ1935-1602 ,19 35 35.8,-16 02 32.31,312,0,0,1.46,5BZCAT
5116,5BZBJ1936-4719 ,19 36 56.09,-47 19 49.9,85,8.62e-12,17.7,0.265,5BZCAT
5117,3HSPJ193419.6+600139.5,19 34 19.61,+60 01 39.5,19,1.85e-12,15.5,0,3HSP
5118,5BZQJ1933+6540 ,19 33 57.34,+65 40 16.89,221,3.68e-12,0,1.687,5BZCAT
5119,5BZUJ1937-3958 ,19 37 16.2,-39 58 01.59,1003,1.19e-11,0,0.965,5BZCAT
5120,5BZQJ1934+6138 ,19 34 40.68,+61 38 41.6,193,0,0,1.749,5BZCAT
5121,4FGLJ1937.2-4217 ,19 37 32.94,-42 15 18.39,567.8,3.04e-12,0,0,Fermi 4LAC
5122,5BZQJ1936-0402 ,19 36 53.74,-04 02 45.38,105,0,0,0.49,5BZCAT
5123,3HSPJ193804.5-380117.7,19 38 04.54,-38 01 17.61,11.4,0,15.5,0.3,3HSP
5124,5BZQJ1938-4657 ,19 38 26.34,-46 57 25.41,138,0,0,0.805,5BZCAT
5125,5BZQJ1938-1749 ,19 38 04.94,-17 49 20.31,198,0,0,0.903,5BZCAT
5126,3FGLJ1939.6-4925 ,19 39 46.08,-49 25 38.2,10.2,3.37e-12,0,0,Fermi 3LAC
5127,5BZQJ1936+7131 ,19 36 03.54,+71 31 31.79,556,0,0,1.864,5BZCAT
5128,3HSPJ193517.6+751933.2,19 35 17.58,+75 19 33.2,5.3,0,16.2,0.27,3HSP
5129,5BZQJ1939-1525 ,19 39 26.64,-15 25 43.1,609,3.33e-12,0,1.657,5BZCAT
5130,5BZUJ1941-6211 ,19 41 21.76,-62 11 21.01,1831,2.78e-11,0,0,5BZCAT
5131,5BZQJ1939-1002 ,19 39 57.25,-10 02 41.49,839,0,0,3.787,5BZCAT
5132,5BZQJ1942-7015 ,19 42 45.41,-70 15 44.38,80,0,0,2.896,5BZCAT
5133,4FGLJ1942.5-5827 ,19 42 24.66,-58 28 24.38,32.3,2.36e-12,0,0,Fermi 4LAC
5134,5BZQJ1941-0211 ,19 41 18.94,-02 11 45.09,54,0,0,0.202,5BZCAT
5135,4FGLJ1942.8-3512 ,19 43 06.59,-35 10 06.6,59.5,3.19e-12,0,0,Fermi 3LAC
5136,5BZBJ1942+1033 ,19 42 47.47,+10 33 26.99,99,3.33e-11,15.3,0,5BZCAT
5137,3HSPJ194422.4-452331.8,19 44 22.39,-45 23 31.81,67.3,2.83e-12,15.9,0.21,3HSP
5138,3HSPJ194333.8-053353.7,19 43 33.79,-05 33 53.71,7.1,0,17.5,0.5,3HSP
5139,5BZGJ1945-5520 ,19 45 24.95,-55 20 48.91,710,0,0,0.015,5BZCAT
5140,3HSPJ194356.2+211822.9,19 43 56.23,+21 18 22.89,103.5,6.98e-12,18.1,0.22,3HSP
5141,4FGLJ1945.1-4007 ,19 45 19.44,-40 05 56.18,211.9,1.77e-12,0,0,Fermi 4LAC
5142,3HSPJ194455.1-214319.2,19 44 55.14,-21 43 19.2,42.2,1.07e-11,17,0.28,3HSP
5143,4FGLJ1941.7+7218 ,19 41 26.98,+72 21 42.08,233.5,4.2e-12,0,0,Fermi 3LAC
5144,3HSPJ194615.2-520848.7,19 46 15.29,-52 08 48.69,95.3,0,16.5,0.23,3HSP
5145,4FGLJ1945.5-0153 ,19 45 22.81,-01 53 21.8,130.8,1.88e-12,0,0,Fermi 4LAC
5146,5BZQJ1945-3048 ,19 45 57.54,-30 48 49.21,128,0,0,0.576,5BZCAT
5147,5BZBJ1945-3111 ,19 45 59.4,-31 11 39.3,168,7.16e-12,0,0,5BZCAT
5148,4FGLJ1937.0+8354 ,19 37 39.65,+83 56 28.89,430.5,1.06e-12,0,0,Fermi 3LAC
5149, 3FGLJ1949.4-6140 ,19 49 34.09,-61 37 33.7,0,0,0,0,Fermi 3LAC
5150, 3FGLJ1949.0+1312 ,19 48 55.29,+13 14 38.39,0,8.86e-12,0,0,Fermi 3LAC
5151,5BZQJ1949-1957 ,19 49 53.41,-19 57 13.21,1416,0,0,2.652,5BZCAT
5152,3HSPJ194934.2+090653.6,19 49 34.19,+09 06 53.6,28.2,7.46e-12,15.5,0,3HSP
5153,4FGLJ1953.0-7025 ,19 52 50.64,-70 24 55.18,393.5,2.93e-12,0,0,Fermi 4LAC
5154,5BZQJ1949+5041 ,19 49 43.85,+50 41 29.61,216,0,0,1.929,5BZCAT
5155,3HSPJ195134.8-154930.4,19 51 34.86,-15 49 30.39,6.4,0,15.9,0.42,3HSP
5156,5BZQJ1951+0134 ,19 51 36.01,+01 34 42.7,100,0,0,4.114,5BZCAT
5157,5BZQJ1951-0509 ,19 51 47.45,-05 09 43.88,184,3.55e-12,0,1.083,5BZCAT
5158,3HSPJ195021.8+604753.9,19 50 21.88,+60 47 53.91,6.9,0,16.3,0.25,3HSP
5159,5BZQJ1951+5727 ,19 51 06.96,+57 27 17.2,457,0,0,0.652,5BZCAT
5160,4FGLJ1949.5+7311 ,19 50 17.41,+73 10 31.4,96.7,4.59e-12,0,0,Fermi 4LAC
5161,3HSPJ195502.8-564028.6,19 55 02.83,-56 40 28.59,8.4,4.44e-12,16,0.2,3HSP
5162,5BZBJ1954-1123 ,19 54 41.15,-11 23 22.59,367,1.6e-11,0,0.683,5BZCAT
5163,3HSPJ195500.6-160338.3,19 55 00.65,-16 03 38.3,24.8,8.14e-12,16.4,0.23,3HSP
5164,5BZQJ1955+1358 ,19 55 11.57,+13 58 16.21,156,1.07e-11,0,0.743,5BZCAT
5165,3HSPJ195547.8+021512.8,19 55 47.86,+02 15 12.81,32.1,3.39e-12,15.7,0,3HSP
5166,5BZQJ1956-3225 ,19 56 59.44,-32 25 45.91,474,4.11e-12,0,1.242,5BZCAT
5167,5BZQJ1955+5131 ,19 55 42.73,+51 31 48.5,1588,8.76e-12,0,1.214,5BZCAT
5168,5BZQJ1957-3845 ,19 57 59.81,-38 45 06.4,1494,3.32e-11,0,0.63,5BZCAT
5169,3HSPJ195755.0-241950.6,19 57 55.01,-24 19 50.48,106.9,0,15.5,0,3HSP
5170,5BZGJ1958-3011 ,19 58 14.9,-30 11 11.61,129,1.03e-11,17,0.119,5BZCAT
5171,4FGLJ1958.1-0711 ,19 58 01.99,-07 13 45.4,13.9,3.62e-12,0,0,Fermi 4LAC
5172,5BZQJ1959-4246 ,19 59 13.38,-42 46 07.71,163,1.07e-11,0,2.178,5BZCAT
5173,3HSPJ195800.4+243806.0,19 58 00.47,+24 38 06.0,23.3,7.58e-12,16,0,3HSP
5174,3HSPJ195945.6-472519.2,19 59 45.65,-47 25 19.19,23.8,1.18e-11,15.3,0,3HSP
5175,3HSPJ200227.2-711936.2,20 02 27.25,-71 19 36.08,81.3,2.37e-12,16.5,0.21,3HSP
5176,4FGLJ2000.3-2930 ,20 00 16.97,-29 30 26.38,103.4,8.35e-12,0,0,Fermi 3LAC
5177,3HSPJ200053.9-364226.3,20 00 53.94,-36 42 26.31,3.6,0,16.1,0,3HSP
5178,5BZQJ2000-1325 ,20 00 42.15,-13 25 33.38,454,5.64e-12,0,0.222,5BZCAT
5179,3HSPJ200204.1-573645.3,20 02 04.18,-57 36 45.21,18,2.9e-12,15.7,0.26,3HSP
5180,5BZQJ2000-1748 ,20 00 57.07,-17 48 57.7,550,1.73e-11,0,0.652,5BZCAT
5181,3HSPJ200213.6-583736.3,20 02 13.67,-58 37 36.3,37.2,0,15.9,0.35,3HSP
5182,3HSPJ195812.6+694325.1,19 58 12.66,+69 43 25.1,8.4,0,16.1,0.28,3HSP
5183, 3FGLJ2000.1+4212 ,19 59 58.75,+42 13 46.7,0,5.73e-12,0,0,Fermi 3LAC
5184,5BZBJ1959+6508 ,19 59 59.86,+65 08 54.7,250,9.27e-11,16.9,0.047,5BZCAT
5185,5BZBJ2001+4352 ,20 01 12.85,+43 52 52.71,104,4.45e-11,15.1,0,5BZCAT
5186,5BZQJ2004-6347 ,20 04 29.46,-63 47 23.2,748,0,0,2.189,5BZCAT
5187,4FGLJ2007.3-7728 ,20 07 06.46,-77 30 42.19,233.2,3.25e-12,0,0,Fermi 3LAC
5188,5BZQJ2003-3251 ,20 03 24.11,-32 51 45.1,447,0,0,3.773,5BZCAT
5189,5BZGJ2003-0856 ,20 03 54.43,-08 56 42.89,9,0,0,0.057,5BZCAT
5190,5BZBJ2001+7040 ,20 01 33.94,+70 40 25.28,160,5.45e-12,0,0,5BZCAT
5191,3HSPJ200245.3+630233.3,20 02 45.37,+63 02 33.21,11.6,1.23e-12,16.3,0,3HSP
5192,5BZQJ2005-1822 ,20 05 17.28,-18 22 03.21,737,3.99e-12,0,0.868,5BZCAT
5193,5BZQJ2005-2310 ,20 05 56.59,-23 10 27.01,325,1.33e-11,0,0.833,5BZCAT
5194,4FGLJ2007.2-1433 ,20 07 10.8,-14 32 04.7,3.4,3.75e-12,0,0,Fermi 4LAC
5195,5BZQJ2007-4434 ,20 07 55.18,-44 34 44.18,862,9.24e-12,0,0.24,5BZCAT
5196,5BZQJ2007+0636 ,20 07 11.92,+06 36 44.6,249,0,0,2.864,5BZCAT
5197,5BZBJ2005+7004 ,20 05 06.3,+70 04 40.58,8,5.08e-12,16.6,0,5BZCAT
5198,3HSPJ201200.9-771219.9,20 12 00.96,-77 12 19.9,9.6,0,16.7,0.33,3HSP
5199,5BZQJ2006+6424 ,20 06 17.68,+64 24 45.39,519,2.84e-12,0,1.574,5BZCAT
5200,5BZUJ2008-0418 ,20 08 24.42,-04 18 29.3,1042,0,0,0.589,5BZCAT
5201,5BZBJ2009-4849 ,20 09 25.38,-48 49 53.61,1299,3.35e-11,15.4,0.071,5BZCAT
5202,3HSPJ200632.8+635549.1,20 06 32.79,+63 55 49.11,5.5,0,15.4,0.29,3HSP
5203,5BZQJ2007+4029 ,20 07 44.93,+40 29 48.51,2470,0,0,1.736,5BZCAT
5204,5BZQJ2007+6607 ,20 07 28.77,+66 07 22.51,509,4.18e-12,0,1.325,5BZCAT
5205,3HSPJ201002.9-244737.7,20 10 02.93,-24 47 37.71,29.7,0,15.9,0.32,3HSP
5206,5BZQJ2010-2523 ,20 10 19.75,-25 23 59.31,59,0,0,0.825,5BZCAT
5207,5BZBJ2005+7752 ,20 05 30.98,+77 52 43.21,1061,2.5e-11,0,0.342,5BZCAT
5208,5BZQJ2009+0727 ,20 09 55.49,+07 27 13.71,269,5.75e-12,0,0.762,5BZCAT
5209,5BZQJ2011-1546 ,20 11 15.71,-15 46 40.29,547,4.75e-12,0,1.178,5BZCAT
5210,3HSPJ201213.7-523251.1,20 12 13.71,-52 32 51.1,25.3,1.79e-12,16.5,0.37,3HSP
5211,4FGLJ2013.0-3717 ,20 12 48.43,-37 19 41.48,40.6,3.03e-12,0,0,Fermi 4LAC
5212,4FGLJ2012.2-1646 ,20 12 30.17,-16 46 50.41,149.3,8.14e-12,0,0,Fermi 3LAC
5213,5BZQJ2010+6116 ,20 10 49.29,+61 16 15.2,251,0,0,0.87,5BZCAT
5214,5BZBJ2009+7229 ,20 09 52.3,+72 29 19.28,954,1.46e-11,0,0,5BZCAT
5215,5BZBJ2012+4628 ,20 12 05.64,+46 28 55.81,620,2.8e-11,0,0,5BZCAT
5216,5BZBJ2014-0047 ,20 14 28.62,-00 47 22.81,125,5.59e-12,15.2,0,5BZCAT
5217,5BZBJ2014+0648 ,20 14 31.07,+06 48 52.3,16,4.87e-12,15.8,0.341,5BZCAT
5218,5BZQJ2015-1252 ,20 15 13.69,-12 52 56.78,52,0,0,0.614,5BZCAT
5219,3HSPJ201525.0-143203.9,20 15 25.01,-14 32 03.91,13.5,1.94e-12,16,0.31,3HSP
5220,5BZBJ2015-0137 ,20 15 15.16,-01 37 32.48,922,1.28e-11,0,0,5BZCAT
5221,3HSPJ201503.8+162227.2,20 15 03.79,+16 22 27.08,483.7,5.1e-12,15.7,0.25,3HSP
5222,4FGLJ2016.3-2331 ,20 16 04.79,-23 30 48.88,0,3.47e-12,0,0,Fermi 4LAC
5223,5BZUJ2015+3710 ,20 15 28.73,+37 10 59.41,2167,7.79e-11,0,0,5BZCAT
5224,5BZBJ2016-0903 ,20 16 24.03,-09 03 33.4,76,1.32e-11,0,0,5BZCAT
5225,4FGLJ2017.5-4113 ,20 17 29.96,-41 15 16.7,144.1,2.96e-12,0,0,Fermi 3LAC
5226,5BZBJ2017-3753 ,20 17 28.69,-37 53 45.99,286,1.82e-12,0,0.598,5BZCAT
5227,5BZQJ2017+0603 ,20 17 13.4,+06 03 07.19,37,3.55e-11,0,1.743,5BZCAT
5228,3HSPJ201619.5+495324.5,20 16 19.54,+49 53 24.5,10.8,2.51e-12,16,0,3HSP
5229,5BZQJ2019-5201 ,20 19 04.38,-52 01 39.5,394,0,0,1.717,5BZCAT
5230,5BZQJ2015+6554 ,20 15 55.36,+65 54 52.59,669,3.59e-12,0,2.845,5BZCAT
5231,5BZQJ2018-1109 ,20 18 28.0,-11 09 55.51,130,0,0,0.9,5BZCAT
5232,3HSPJ202143.8-722611.8,20 21 43.85,-72 26 11.79,34.4,1.7e-12,16.2,0.29,3HSP
5233,5BZQJ2018-0509 ,20 18 57.75,-05 09 29.41,71,0,0,0.905,5BZCAT
5234,4FGLJ2022.0-7224 ,20 22 04.79,-72 25 38.49,0,1.7e-12,0,0,Fermi 4LAC
5235,3FGLJ2018.5+3851 ,20 18 31.02,+38 51 19.29,233,8.94e-12,0,0,Fermi 3LAC
5236,5BZQJ2017+7440 ,20 17 13.07,+74 40 47.89,474,0,0,2.187,5BZCAT
5237,5BZBJ2022-4513 ,20 22 26.2,-45 13 31.0,141,8.36e-12,0,0,5BZCAT
5238,3FGLJ2021.9+0630 ,20 21 55.45,+06 29 13.59,61.5,5.58e-12,0,0,Fermi 3LAC
5239,3HSPJ201924.7+712624.6,20 19 24.73,+71 26 24.61,15.8,0,15.5,0.31,3HSP
5240,5BZQJ2020+6747 ,20 20 18.9,+67 47 06.39,238,0,0,2.571,5BZCAT
5241,4FGLJ2024.8-6459 ,20 24 46.37,-64 58 34.21,126.6,2.67e-12,0,0,Fermi 4LAC
