id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
636,3HSPJ075329.5+535111,,118.37304,53.85306,42.4,0.1,-12.1,,2.11,2WHSPJ075329.5+535111
638,3HSPJ075722.8+182929,,119.34492,18.49139,3.2,0.12,-12.6,,,2WHSPJ075722.6+182929
639,3HSPJ075936.1+132117,,119.90058,13.35472,5.2,0.97,-11.7,4FGL J0759.6+1321,1.78,2WHSPJ075936.1+132116
641,3HSPJ080015.5+561107,,120.06471,56.18528,9.6,0.05,-12.2,4FGL J0800.3+5611,1.96,2WHSPJ080015.4+561107
644,3HSPJ080136.0+463824,,120.39996,46.64,3.1,0.09,-12.5,1BIGB_J080135.8+463824,2.3,2WHSPJ080135.8+463824
647,3HSPJ080312.0-033600,,120.80042,-3.6,232.2,0.1,-12.2,4FGL J0803.2-0337,2.0,2WHSPJ080312.1-033600
649,3HSPJ080457.7-062426,,121.24058,-6.40722,21.0,0.73,-11.8,4FGL J0804.9-0624,1.9,2WHSPJ080457.7-062425
650,3HSPJ080508.9+685601,,121.28729,68.93361,22.7,0.04,-12.3,,,2WHSPJ080508.8+685600
652,3HSPJ080610.6+020327,,121.54425,2.0575,38.4,,-12.1,,,2WHSPJ080610.6+020327
657,3HSPJ081012.0-703047,,122.55017,-70.51306,8.0,0.1,-12.5,FL8Y J0809.9-7026,,2WHSPJ081011.9-703047
658,3HSPJ081201.9+023733,,123.00775,2.62583,123.4,2.22,-11.5,4FGL J0812.0+0237,1.72,2WHSPJ081201.7+023732
659,3HSPJ081231.3+282056,,123.13025,28.34889,3.8,0.09,-12.3,4FGL J0812.6+2821,2.04,2WHSPJ081231.1+282056
661,3HSPJ081258.4+153152,,123.24329,15.53111,2.9,0.34,-11.8?,,,2WHSPJ081258.3+153151
662,3HSPJ081305.6+714314,,123.27342,71.72056,3.3,0.09,-12.5,,,2WHSPJ081305.5+714314
664,3HSPJ081343.6-754758,,123.4315,-75.79944,21.5,0.14,-12.1,,,2WHSPJ081343.4-754757
666,3HSPJ081435.4+183028,,123.64733,18.50778,0.9,0.09,-12.9,,,2WHSPJ081435.2+183028
668,3HSPJ081603.0-121553,,124.01242,-12.26472,4.3,0.08,-12.3,,,2WHSPJ081602.8-121552
671,3HSPJ081915.3+064221,,124.81392,6.70583,1.8,0.08,-12.8?,,,2WHSPJ081915.3+064220
675,3HSPJ082030.8-031413,,125.12846,-3.23694,4.9,0.34,-12.1,,,2WHSPJ082030.7-031412
677,3HSPJ082130.2+213721,,125.37592,21.6225,3.2,0.02,-12.8,,,2WHSPJ082130.1+213720
678,3HSPJ082253.0+701357,,125.72167,70.2325,112.8,,-11.7,,,2WHSPJ082253.2+701357
