,RAJ2000,DEJ2000,Name,Type,Rmag,Bmag,Comment,R,B,z,Qpct,XName,RName,Lobe1,Lobe2
736297,166.959285,61.2274697,SDSS J110750.23+611338.9 ,QRX ,19.12,19.14,gG ,-,-, 2.820, 99,2XMMi J110750.1+611340,FIRST J110750.2+611338,NVSS J110750.3+611337 ,
737425,167.1390148,72.4363815,1WGA J1108.5+7226        ,QRX ,18.75,20.26,p+G,-,-, 0.328, 99,2SXPS J110833.3+722611,VL0J110833.24+722610.8,2XMM J110833.3+722612 ,2RXP J110835.0+722611
737552,167.1596471,25.9226225,FBQS J110838.3+255521    ,QRX ,18.06,17.98,gG ,-,-, 0.719,100,4XMM J110838.2+255521 ,VL0J110838.32+255521.4,FIRST J110838.3+255521,
737571,167.1624498,25.9370136,SDSS J110838.99+255613.2 ,QRX ,17.50,17.58,gG ,1,1, 0.732,100,4XMM J110838.9+255612 ,VL0J110838.99+255613.2,FIRST J110838.9+255613,2SXPS J110838.9+255610
738012,167.2385303,25.7665926,SDSS J110857.25+254559.7 ,QRX ,19.38,19.34,gG ,-,-, 2.005,100,4XMM J110857.2+254559 ,VL0J110857.25+254559.8,FIRST J110857.2+254559,2SXPS J110857.4+254555
738217,167.2762788,46.8329612,SDSS J110906.30+464958.7 ,QRX ,18.02,17.93,gG ,-,-, 0.475,100,2RXS J110905.1+465004 ,VL0J110906.29+464958.4,FIRST J110906.3+464958,
738274,167.2853548,0.2087018,2SLAQ J110908.49+001231.4,QRX ,17.91,18.16,pG ,-,-, 0.536, 99,2RXS J110908.4+001245 ,VL0J110908.52+001231.9,FIRST J110908.4+001232,
738597,167.3323035,71.7092815,IRAS 11058+7159          ,QRX ,15.53,16.18,pG ,-,n, 0.130, 98,2SXPS J110920.2+714234,NVSS J110920.0+714231 ,2RXS J110918.2+714238 ,
738776,167.3625911,64.3092316,SDSS J110927.01+641833.3 ,QRX ,21.18,21.56,gG ,1,-, 0.604, 99,2RXP J110928.7+641833 ,FIRST J110927.3+641830,VL0J110927.37+641830.2,NVSS J110928.0+641830
738861,167.3765712,61.3399278,SDSS J110930.37+612023.7 ,QRX ,18.49,18.79,gG ,1,-, 1.654, 99,4XMM J110930.4+612023 ,FIRST J110930.3+612024,                      ,
739003,167.3978392,66.8782528,SDSS J110935.48+665241.7 ,QRX ,18.62,18.98,gmG,-,-, 1.369,100,4XMM J110935.3+665242 ,VL0J110935.47+665241.5,NVSS J110935.0+665243 ,
739306,167.4470613,56.3613335,SDSS J110947.30+562140.8 ,QRX ,20.15,20.26,gG ,-,-, 0.688, 97,2RXS J110948.4+562155 ,FIRST J110947.3+562141,                      ,
739765,167.5209881,36.8934142,SDSS J111005.04+365336.3 ,QRX ,20.56,20.65,gG ,-,-, 0.630,100,2SXPS J111005.2+365334,VL0J111005.06+365336.2,FIRST J111005.0+365336,NVSS J111005.0+365338
740347,167.6105183,44.0375984,SDSS J111026.51+440215.4 ,QRX ,21.79,22.28,gG ,-,-, 1.438, 99,2XMM J111026.4+440215 ,VL0J111026.52+440215.0,FIRST J111026.4+440214,
740426,167.6253672,34.980136,SDSS J111030.09+345848.4 ,QRX ,18.63,18.83,gG ,-,-, 1.363, 99,2SXPS J111030.1+345849,FIRST J111030.0+345848,VL0J111029.99+345849.1,NVSS J111030.1+345847
740608,167.651347,48.2978996,S4 1107+48               ,QRX ,20.38,21.64,gG ,-,-, 0.741, 98,XMMX J111036.5+481752 ,VL0J111036.33+481752.3,FIRST J111036.3+481752,2SXPS J111035.9+481751
740980,167.7038722,4.9355663,SDSS J111048.93+045608.0 ,QRX ,19.14,19.34,gmG,-,-, 2.206,100,2SXPS J111048.9+045615,VL0J111048.92+045608.2,FIRST J111048.9+045607,NVSS J111048.9+045608
741458,167.774508,52.4636106,SDSS J111105.88+522749.0 ,QRX ,17.74,17.88,gG ,-,-, 1.284, 99,2RXS J111104.8+522753 ,VL0J111105.79+522749.2,FIRST J111106.0+522749,NVSS J111105.7+522749
741833,167.8272254,15.5091819,SDSS J111118.53+153033.0 ,QRX ,18.96,18.83,gG ,-,-, 0.526, 99,2RXS J111119.2+153048 ,VL0J111118.50+153033.2,FIRST J111118.5+153033,NVSS J111118.5+153030
742365,167.9018834,1.1037692,SDSS J111136.45+010613.5 ,QRX ,19.49,20.17,gG ,1,-, 1.543, 99,2SXPS J111136.4+010613,VL0J111136.43+010613.8,FIRST J111136.4+010614,NVSS J111136.8+010614
742882,167.9791451,24.5574866,SDSS J111154.99+243326.9 ,QRX ,21.22,21.49,g  ,1,-, 3.185,100,4XMM J111155.0+243326 ,VL0J111155.00+243326.8,                      ,
743092,168.0144895,15.9056008,SDSS J111203.48+155420.1 ,QRX ,17.79,17.67,gG ,1,-, 0.432, 99,2RXS J111204.2+155426 ,FIRST J111203.4+155419,                      ,
743549,168.0909354,0.5079509,2QZ J111221.7+003028     ,QRX ,19.49,19.36,gG ,-,-, 0.523,100,2RXS J111222.1+003032 ,VL0J111221.81+003028.8,FIRST J111221.8+003028,NVSS J111221.6+003027
743788,168.1297,-0.4261604,SDSS J111231.13-002534.1 ,QRX ,18.80,18.62,gmG,-,-, 0.543,100,2RXS J111231.3-002531 ,VL0J111231.12-002533.9,FIRST J111231.1-002533,
743847,168.1380658,53.7412375,SDSS J111233.13+534428.4 ,QRX ,19.79,20.41,gG ,-,-, 1.768, 98,2SXPS J111233.3+534431,VL0J111233.08+534428.4,                      ,
743999,168.1615403,34.7775329,GB2 1109+350             ,QRX ,19.30,19.46,gG ,-,-, 1.953,100,2SXPS J111238.6+344636,VL0J111238.78+344639.2,FIRST J111238.7+344639,NVSS J111238.7+344639
744107,168.1788857,42.3765836,SDSS J111242.93+422235.6 ,QRX ,19.31,19.58,gG ,1,-, 1.499,100,2SXPS J111242.9+422235,FIRST J111242.9+422235,VL0J111242.96+422235.8,NVSS J111242.9+422235
744435,168.2309624,40.8687192,SDSS J111255.43+405207.3 ,QRX ,21.35,21.37,gm ,-,1, 1.989, 99,4XMM J111255.6+405208 ,VL0J111255.45+405207.3,FIRST J111255.3+405207,
744447,168.2320256,62.8800083,SDSS J111255.69+625247.9 ,QRX ,19.57,19.90,gG ,-,-, 1.016, 98,2RXP J111256.0+625251 ,VL0J111255.70+625248.2,FIRST J111255.6+625247,NVSS J111255.4+625249
745326,168.3742424,12.6469564,SDSS J111329.81+123849.0 ,QRX ,21.69,21.37,g+G,-,-, 2.207, 99,4XMM J111329.8+123848 ,VL0J111329.80+123849.0,FIRST J111329.6+123848,
745672,168.4267467,25.5856538,SDSS J111342.41+253508.3 ,QRX ,21.79,22.05,g  ,-,-, 2.820,100,4XMM J111342.3+253508 ,VL0J111342.41+253508.4,FIRST J111342.4+253508,
746122,168.494562,14.7074879,PKS 1111+149             ,QRX ,17.53,17.62,gmG,-,-, 0.867,100,XMMSL J111358.0+144227,VL0J111358.67+144227.2,FIRST J111358.6+144227,2RXS J111358.0+144219
746598,168.5711305,57.1758133,SDSS J111417.07+571032.8 ,QRX ,20.07,20.01,gG ,-,-, 1.668, 99,CXOG J111416.9+571033 ,VL0J111417.02+571032.7,                      ,
746602,168.5715147,13.011941,SDSS J111417.16+130042.9 ,QRX ,17.19,17.35,gG ,1,1, 1.220, 99,2SXPS J111417.0+130042,FIRST J111417.1+130042,VL0J111417.14+130043.1,NVSS J111417.2+130043
747023,168.6340858,63.4653507,SDSS J111432.16+632755.3 ,QRX ,19.11,19.51,gG ,1,-, 0.631, 99,2RXP J111432.6+632755 ,FIRST J111432.1+632755,2RXS J111432.2+632801 ,
747086,168.6417257,40.3617751,SDSS J111434.01+402142.3 ,QRX ,21.76,21.90,g  ,-,-, 1.570, 99,4XMM J111434.0+402141 ,VL0J111434.02+402142.6,FIRST J111434.0+402141,
747212,168.6613548,40.622315,3C 254.0                 ,QRX ,17.10,17.17,gG ,-,-, 0.737,100,CXOG J111438.7+403720 ,FIRST J111438.8+403719,NVSS J111438.4+403720 ,XMMSL J111438.7+403720
747564,168.7155691,43.0513492,SDSS J111451.73+430304.8 ,QRX ,20.29,20.59,gG ,-,1, 1.177, 98,4XMM J111451.6+430307 ,NVSS J111451.0+430307 ,                      ,
747724,168.7414688,59.5922706,SDSS J111457.95+593532.1 ,QRX ,18.21,18.32,gG ,-,-, 1.591,100,2SXPS J111458.0+593531,VL0J111457.90+593532.2,FIRST J111457.8+593532,2RXS J111458.5+593527
747978,168.781902,2.6326496,SDSS J111507.65+023757.5 ,QRX ,17.29,17.25,gG ,-,-, 0.567,100,2RXS J111507.3+023801 ,VL0J111507.64+023757.7,FIRST J111507.6+023757,NVSS J111507.5+023751
748080,168.7965334,40.5066293,SDSS J111511.16+403023.8 ,QRX ,20.73,20.70,g  ,-,-, 1.607, 99,2RXP J111511.2+403023 ,VL0J111511.19+403023.8,FIRST J111511.1+403023,NVSS J111511.2+403025
748587,168.8773591,20.7009462,SDSS J111530.56+204203.4 ,QRX ,19.64,19.59,gG ,-,-, 1.547,100,1WGA J1115.5+2042     ,VL0J111530.57+204203.3,FIRST J111530.5+204203,NVSS J111530.5+204203
748847,168.9174072,42.7327801,SDSS J111540.16+424357.9 ,QRX ,20.96,21.33,gG ,1,1, 1.013,100,4XMM J111540.1+424358 ,VL0J111540.19+424358.0,FIRST J111540.1+424358,NVSS J111540.1+424354
748980,168.9387577,8.2499616,SDSS J111545.30+081459.8 ,QRX ,18.36,18.68,gmG,-,-, 1.194, 99,2RXS J111544.7+081509 ,VL0J111545.29+081459.9,FIRST J111545.3+081459,
749026,168.9457882,43.0753235,SDSS J111546.98+430431.2 ,QRX ,19.04,19.20,gmG,-,-, 1.036,100,2XMM J111547.0+430431 ,FIRST J111547.0+430431,VL0J111547.09+430432.0,NVSS J111547.1+430428
749283,168.9893718,24.4963111,SDSS J111557.45+242946.7 ,QRX ,18.40,18.33,gG ,-,-, 0.374, 99,XMMSL J111558.3+242954,VL0J111557.47+242946.8,FIRST J111557.4+242946,2RXS J111557.3+242933
749436,169.0130381,2.1478294,2MASS J11160+0208        ,QRX ,16.83,16.94,gmG,1,-, 0.212, 99,2SXPS J111602.9+020848,FIRST J111603.0+020852,                      ,
749792,169.0643322,1.2644252,2QZ J111615.3+011551     ,QRX ,20.25,20.30,gG ,1,1, 2.277, 99,4XMM J111615.4+011553 ,FIRST J111615.4+011551,VL0J111615.42+011552.1,NVSS J111615.5+011556
