id,RA,DEC,Source name,Redshift,Radio flux d.,Fermi flux,Log nu_peak,Original catalog
353,19.08170833333333,-61.89541944444444,5BZBJ0116-6153 ,0.0,27.0,3.15e-12,0.0,5BZCAT
354,19.355,14.303419444444444,5BZQJ0117+1418 ,0.839,173.0,0.0,0.0,5BZCAT
356,19.44575,-24.726027777777777,5BZBJ0117-2443 ,0.279,10.0,1.08e-12,16.6,5BZCAT
357,19.45325,-21.185188888888888,5BZQJ0117-2111 ,1.49,255.0,1.14e-11,0.0,5BZCAT
358,19.43575,-33.951388888888886,5BZQJ0117-3357 ,0.647,415.0,0.0,0.0,5BZCAT
362,19.7385,-21.691669444444443,5BZQJ0118-2141 ,1.165,447.0,3.15e-11,0.0,5BZCAT
368,20.131916666666665,-27.023527777777776,5BZBJ0120-2701 ,0.0,934.0,3.56e-11,0.0,5BZCAT
370,20.253,-28.10613888888889,5BZQJ0121-2806 ,3.119,122.0,0.0,0.0,5BZCAT
371,20.37075,11.450138888888889,5BZQJ0121+1127 ,2.487,46.0,0.0,0.0,5BZCAT
372,20.423166666666663,11.830688888888888,5BZQJ0121+1149 ,0.57,1184.0,0.0,0.0,5BZCAT
373,20.486916666666666,4.3735277777777775,5BZQJ0121+0422 ,0.637,1066.0,0.0,0.0,5BZCAT
374,20.50795833333333,3.1673583333333335,5BZQJ0122+0310 ,4.0,98.0,0.0,0.0,5BZCAT
377,20.614,15.173058333333334,5BZBJ0122+1510 ,0.0,38.0,0.0,0.0,5BZCAT
378,20.66170833333333,25.042169444444443,5BZQJ0122+2502 ,2.025,714.0,0.0,0.0,5BZCAT
379,20.70025,-9.596388888888889,5BZQJ0122-0935 ,0.784,37.0,0.0,0.0,5BZCAT
380,20.78595833333333,34.346808333333335,5BZBJ0123+3420 ,0.272,44.0,3.24e-12,18.0,5BZCAT
381,20.91870833333333,42.16855833333333,5BZGJ0123+4210 ,0.186,20.0,0.0,17.8,5BZCAT
382,20.92925,26.25618888888889,5BZQJ0123+2615 ,0.849,183.0,0.0,0.0,5BZCAT
383,20.90975,-23.182919444444444,5BZBJ0123-2310 ,0.404,27.0,6.48e-12,17.3,5BZCAT
384,21.12725,32.82952777777778,5BZBJ0124+3249 ,0.0,14.0,0.0,16.5,5BZCAT
385,21.185499999999998,9.313669444444445,5BZBJ0124+0918 ,0.338,2.0,0.0,0.0,5BZCAT
386,21.23275,28.0865,5BZQJ0124+2805 ,0.71,217.0,0.0,0.0,5BZCAT
387,21.21025,-6.416919444444445,5BZBJ0124-0625 ,0.0,41.0,2.97e-12,0.0,5BZCAT
389,21.272916666666667,1.774138888888889,5BZQJ0125+0146 ,1.559,187.0,0.0,0.0,5BZCAT
390,21.238958333333333,-51.221247222222225,5BZQJ0124-5113 ,1.104,251.0,0.0,0.0,5BZCAT
391,21.370166666666666,-0.09885833333333333,5BZQJ0125-0005 ,1.077,1540.0,0.0,0.0,5BZCAT
392,21.328458333333334,-25.817888888888888,5BZBJ0125-2549 ,0.0,166.0,6.44e-12,0.0,5BZCAT
394,21.5625,-22.376,5BZQJ0126-2222 ,0.717,612.0,6.84e-12,0.0,5BZCAT
395,21.67825,25.983669444444445,5BZQJ0126+2559 ,2.358,1003.0,0.0,0.0,5BZCAT
396,21.73845833333333,33.125058333333335,5BZBJ0126+3307 ,0.0,7.0,1.64e-12,16.8,5BZCAT
